expert.level,country,ASA.Class,Apfel.Score,NYHA.Score,ARISCAT.Score,rRCI,POSPOM,method.future.evaluation,who.obtains,online.legal,online.possible.internet,online.possible.telefon,lack of contact,impossible to observe behavior,no relation,no confidence,legal requirenments,unsure if illigal,no anamnestic info,Less stressful,Less waiting,Standardized questionaires,More efficient than face-to-face,Obtain.both.parents.complex,Obtain.both.parents.simple,parents.legal.online,id.card,id.card.needed
Consultant,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,via telefone,Consultant,Yes,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",Yes,No,No
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,Consultant,I do not know,Yes,No (please comment),Yes,Not selected,Not selected,Yes,Not selected,Yes,Yes,Not selected,Not selected,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",Yes,No,No
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,No,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Different (please commment)
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Always both parents,Always both parents,Yes,Yes,Yes
Resident,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Anaesthesia technician,I do not know,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Yes,Not selected,Yes,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Yes,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Other,Yes,Not selected,Yes,Not selected,Yes,Not selected,in person,Special trained nurse,I do not know,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,Consultant,I do not know,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Cyprus,Yes,Not selected,Yes,Not selected,Not selected,Not selected,via telefone,Consultant,Yes,Different (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Anaesthesia technician,I do not know,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Different (please commment),Different (please commment),Yes
Resident,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Not selected,Not selected,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Resident,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Lithuania,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Yes,Yes,Not selected,Yes,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Romania,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Greece,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,Resident,No,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Resident,Greece,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,Yes,No (please comment),No (please comment),Yes,Yes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Resident,Romania,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Always both parents,"Just the one, who is present",No,Yes,Yes
Consultant,Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Cyprus,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,NA,No,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Yes,Different (please comment),"Just the one, who is present",No,No,No
Consultant,Latvia,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Not selected,Yes,Not selected,Not selected,Yes,Not selected,Yes,Yes,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Finland,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via patient´s self assessment,Resident,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Yes,Different (please comment),"Just the one, who is present",Different (please commment),No,Different (please commment)
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Resident,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Greece,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,via telefone,Consultant,I do not know,No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Italy,Yes,Not selected,Yes,Yes,Not selected,Not selected,in person,Consultant,No,Different (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,NA,NA,NA,NA
Consultant,Lithuania,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Romania,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Not selected,Yes,Yes,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Yes,NA,NA,NA,NA,NA
Consultant,Other,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,online via patient´s self assessment,Consultant,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Resident,Greece,Yes,Not selected,Not selected,Yes,Yes,Not selected,in person,Resident,I do not know,No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Not selected,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via patient´s self assessment,Consultant,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Not selected,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Special trained nurse,No,No (please comment),No (please comment),Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
